EVENT_CREATED_AT,Agency_ID,Provider_ID,REQUEST
2025-05-08 01:53:01.431,3686,1281,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669177574QBoO"", ""hotelCode"": 129117, ""rateDetailCode"": ""1281-129117|NRFN|202208111000|7|M|R1200|7267"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""3220717565656e20626564732c206e6f6e2d736d6f6b696e67|1""}]}, ""timeout"": 28000}"
2025-05-08 01:53:26.386,3686,319,"{""sessionId"": ""20250514|20250515|en_US|US|USD|2A0C|3686|HyWGR|1746669195478AiYj"", ""hotelCode"": 337757, ""rateDetailCode"": ""319-337757|NRFN|TD|1|M|R1200|6519"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""31206b696e6720626564|1""}]}, ""timeout"": 28000}"
2025-05-08 01:54:05.790,3686,669,"{""sessionId"": ""20250517|20250518|en_US|US|USD|2A0C|3686|HyWGR|1746669237584lSZo"", ""hotelCode"": 699063, ""rateDetailCode"": ""669-699063|RFN|202505091000|1|M|R1200|34782"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""7072656d69756d20717565656e20726f6f6d|1""}]}, ""timeout"": 28000}"
2025-05-08 01:54:05.849,3686,1117,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669238998VicX"", ""hotelCode"": 128401, ""rateDetailCode"": ""1117-128401|NRFN|202505070419|2|M|R1200|5109"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""646f75626c6520726f6f6d202d20736d6f6b696e67|1""}]}, ""timeout"": 28000}"
2025-05-08 01:54:06.399,3686,1116,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669238998VicX"", ""hotelCode"": 128401, ""rateDetailCode"": ""1116-128401|NRFN|202505070419|2|M|R1200|5136"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""646f75626c6520726f6f6d202d20736d6f6b696e67|1""}]}, ""timeout"": 28000}"
2025-05-08 01:54:41.985,3686,1059,"{""sessionId"": ""20250507|20250508|en_US|CA|USD|2A0C|3686|HyWGR|1746669277220yytS"", ""hotelCode"": 129625, ""rateDetailCode"": ""1059-129625|NRFN|202505061000|2|M|R1200|45484"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""65786563757469766520646f75626c6520726f6f6d|1""}]}, ""timeout"": 28000}"
2025-05-08 01:54:42.115,3686,1059,"{""sessionId"": ""20250507|20250508|en_US|CA|USD|2A0C|3686|HyWGR|1746669277220yytS"", ""hotelCode"": 129625, ""rateDetailCode"": ""1059-129625|NRFN|202505061000|1|M|R1200|44885"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""657865637574697665206b696e6720726f6f6d|1""}]}, ""timeout"": 28000}"
2025-05-08 01:54:42.221,3686,1059,"{""sessionId"": ""20250507|20250508|en_US|CA|USD|2A0C|3686|HyWGR|1746669277220yytS"", ""hotelCode"": 129625, ""rateDetailCode"": ""1059-129625|NRFN|202505061000|3|M|R1200|53340"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""RO"", ""roomCode"": ""65786563757469766520646f75626c6520726f6f6d|1""}]}, ""timeout"": 28000}"
2025-05-08 01:55:59.432,3686,1291,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669356733ejca"", ""hotelCode"": 120161, ""rateDetailCode"": ""1291-120161|RFN|202505071000|1|M|R1200|12482"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""3220726f6f6d2073756974652d31206b696e67206265642d6e6f6e736d6f6b696e67|1""}]}, ""timeout"": 28000}"
2025-05-08 01:55:59.450,3686,1290,"{""sessionId"": ""20250507|20250508|en_US|US|USD|2A0C|3686|HyWGR|1746669356733ejca"", ""hotelCode"": 120161, ""rateDetailCode"": ""1290-120161|NRFN|202505051000|1|M|R1200|12170"", ""confirmedRooms"": {""confirmedRooms"": [{""boardId"": ""BB"", ""roomCode"": ""3220726f6f6d2073756974652d31206b696e67206265642d6e6f6e736d6f6b696e672c636f6d7020636f6f6b656420746f206f726465722062726b6673742d6576656e696e6720726563657074696f6e2c776966692061766c2d736c656570657220736f66612d6d6963726f776176652d726566726967657261746f722c|1""}]}, ""timeout"": 28000}"
