Date,Hour,SUPPLIER,SUPPLIER_HOTEL_ID,HOTEL_NAME,StatusMessage
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,169996,North Miami Beach Gardens Inn & Suites,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,1700057028,WoodSpring Suites Chicago Midway,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,220088,Hotel Angeleno,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,218122,Americas Best Value Inn Goldsboro,
2025-05-08,8,nutmd,259068,La Concha Renaissance San Juan Resort,
2025-05-08,8,nutmd,535092,Aloft Raleigh-Durham Airport Brier Creek,
2025-05-08,8,nutmd,751728,Novotel Melbourne South Wharf,
2025-05-08,8,nutmd,751728,Novotel Melbourne South Wharf,
2025-05-08,8,nutmd,751728,Novotel Melbourne South Wharf,
2025-05-08,8,nutmd,751728,Novotel Melbourne South Wharf,
2025-05-08,8,nutmd,751728,Novotel Melbourne South Wharf,
2025-05-08,8,nutmd,231506,Ibis Milano Centro,
2025-05-08,8,nutmd,231506,Ibis Milano Centro,
2025-05-08,9,nutmd,231506,Ibis Milano Centro,
2025-05-08,9,nutmd,280170,Serena Hotel,
2025-05-08,9,nutmd,133652,The Hotel Zags Portland,
2025-05-08,9,nutmd,480344,Grand Hyatt Playa Del Carmen Resort,
2025-05-08,9,nutmd,480344,Grand Hyatt Playa Del Carmen Resort,
2025-05-08,9,nutmd,458111,The Cosmopolitan Motel & Serviced Apartments,
2025-05-08,9,nutmd,132598,Mercure Newcastle,
2025-05-08,9,nutmd,136010,Sheraton Atlantic City Convention Center Hotel,
2025-05-08,9,nutmd,136010,Sheraton Atlantic City Convention Center Hotel,
2025-05-08,9,nutmd,116557,The Victoria Hotel Melbourne,
2025-05-08,9,nutmd,458111,The Cosmopolitan Motel & Serviced Apartments,
2025-05-08,9,nutmd,458111,The Cosmopolitan Motel & Serviced Apartments,
2025-05-08,9,nutmd,458111,The Cosmopolitan Motel & Serviced Apartments,
2025-05-08,9,nutmd,458111,The Cosmopolitan Motel & Serviced Apartments,
2025-05-08,9,nutmd,458111,The Cosmopolitan Motel & Serviced Apartments,
2025-05-08,9,nutmd,199437,Hotel Selu,
2025-05-08,9,nutmd,131554,Sonesta Denver Downtown,
2025-05-08,9,nutmd,133652,The Hotel Zags Portland,
2025-05-08,9,nutmd,851191,Rockwell East,
2025-05-08,9,nutmd,657987,Hilton Tanger City Center Hotel & Residences,
2025-05-08,9,nutmd,657987,Hilton Tanger City Center Hotel & Residences,
