providerId,HOTEL_NAME,SUPPLIER_HOTEL_ID,hotelErrorCount
1063,"Country Inn & Suites By Radisson, Camp Springs (Andrews Air Force Base), MD",253402,2
1063,"Country Inn & Suites By Radisson, Grand Rapids Airport, MI",130183,1
1063,"Country Inn & Suites By Radisson, Houston Northwest, TX",198102,1
1063,"Country Inn & Suites By Radisson, Pensacola West, FL",269726,1
1063,"Country Inn & Suites By Radisson, Petersburg, VA",265225,1
1063,"Country Inn & Suites By Radisson, Phoenix Airport, AZ",114202,1
1063,"Country Inn & Suites By Radisson, Richmond West At I-64, VA",313068,2
1063,"Country Inn & Suites By Radisson, Roanoke Rapids, NC",124535,1
1063,"Country Inn & Suites By Radisson, St. Cloud West, MN",116032,1
1063,"Country Inn & Suites By Radisson, State College (Penn State Area), PA",389992,1
1063,Econo Lodge Inn & Suites,244681,1
1063,Econo Lodge Inn & Suites University,117848,1
1063,Econo Lodge Milldale - Southington,270845,1
1063,Econo Lodge New Reno-Sparks Convention Center,194572,1
1063,Econo Lodge Rochester I-90 & I-390,471903,4
1063,Econo Lodge Wall,150391,1
1063,Extended Stay America Suites Hartford Farmington,150990,1
1063,Grand Hotel Du Palais Royal,552060,1
1063,Harrahs Las Vegas Hotel And Casino,113149,2
1063,Holiday Inn Express & Suites Bluffton @ Hilton Head Area,204005,1
1063,Holiday Inn Express & Suites San Antonio NW-Medical Area,274229,1
1063,Holiday Inn Express Woodland,216823,1
1063,Holiday Inn Hotel & Suites Chattanooga Downtown,542961,1
1063,Holiday Inn San Antonio - Riverwalk,107194,1
1063,HomeTowne Studios By Red Roof Dallas - Mesquite,150551,1
1063,Hotel Atlantico Business Centro,376145,1
1063,Hotel Britannia,232179,1
1063,Hotel Katla By Keahotels,344480,4
1063,Hotel Legie,743010,2
1063,INNSiDE By Meliá Aachen,574761,1
1063,InterContinental Dublin,181999,1
1063,Kube Hotel Paris,241874,1
1063,M Social Auckland,123648,2
1063,Millennium Hotel And Conference Centre Gloucester London,105996,3
1063,"My Place Hotel - Missoula, MT",515941,2
1063,North Miami Beach Gardens Inn & Suites,169996,1
1063,OYO Townhouse Orlando West,195421,1
1063,Park Grand London Heathrow,406359,1
1063,Quality Inn,111138,1
1063,Quality Inn,141291,1
1063,Quality Inn,201442,1
1063,Quality Inn,212883,1
1063,Quality Inn,512076,2
1063,Quality Inn & Suites Bloomington University Area,140740,2
1063,Quality Inn & Suites Columbus West - Hilliard,201909,2
1063,Quality Inn & Suites Evansville Downtown,1700163888,1
1063,Quality Inn & Suites Greenville - Haywood Mall,110009,1
1063,Quality Inn & Suites Lawrence - University Area,495534,2
1063,Quality Inn & Suites McDonough South I-75,107459,1
1063,Quality Inn & Suites Palm Island Indoor Waterpark,149424,2
1063,Quality Inn & Suites Pensacola Bayview,106561,3
1063,Quality Inn & Suites South/Obetz,267412,1
1063,Quality Inn & Suites Southport,181712,1
1063,Quality Inn & Suites University Fort Collins,135750,2
1063,Quality Inn At Arlington Highlands,153116,2
1063,Quality Inn Duluth - Atlanta Northeast,119320,2
1063,Quality Inn Fort Dodge,107594,1
1063,Quality Inn Geneseo,231929,1
1063,Quality Inn Little Creek,116572,1
1063,Quality Inn Miami Airport - Doral,222210,1
1063,Quality Inn Mishawaka - South Bend,201881,1
1063,Quality Inn Near Sunset Park,782945,3
1063,Quality Inn Spring Valley - Nanuet,124296,6
1063,Quality Inn Thornburg,152534,1
1063,Quality Inn Vernal Near Dinosaur National Monument,468652,1
1063,Quality Inn Weston,492710,4
1063,RACV Goldfields Resort,256471,1
1063,Radisson Hotel Schaumburg,108342,1
1063,Red Roof Inn Cortland,657822,1
1063,Red Roof Inn Fort Wayne,181802,1
1063,Red Roof Inn PLUS+ Newark Liberty Airport - Carteret,263773,1
1063,Red Roof Inn PLUS+ Pittsburgh South - Airport,127370,2
1063,Red Roof PLUS+ Chicago - Hoffman Estates,127400,1
